source,target
Le Havre,Paris
Le Havre,Amiens
Paris,Orléans
Paris,Calais
Paris,Lyon
Paris,Brussels
Paris,Le Mans
Paris,Reims
Paris,Chaumont
Amiens,Charleville-Mézières
Orléans,Bordeaux
Orléans,Tours
Orléans,Montargis
Orléans,Toulouse
Calais,Bruges
Calais,Rouen
Lyon,Orange
Lyon,Clermont-Ferrand
Lyon,Chambéry
Lyon,Pont-d'Ain
Lyon,Grenoble
Brussels,Metz
Brussels,Amsterdam
Brussels,Ghent
Brussels,Leuven
Le Mans,Rennes
Le Mans,Angers
Le Mans,Tours
Le Mans,Rouen
Reims,Metz
Reims,Charleroi
Reims,Charleville-Mézières
Reims,Rouen
Chaumont,Mulhouse
Bordeaux,San Sebastián
Bordeaux,Clermont-Ferrand
Bordeaux,Toulouse
Bordeaux,Angoulême
Tours,Angers
Tours,Vierzon
Montargis,Auxerre
Toulouse,San Sebastián
Toulouse,Barcelona
Toulouse,Nice
San Sebastián,Burgos
San Sebastián,Bilbao
Clermont-Ferrand,Montluçon
Clermont-Ferrand,Montpellier
Angoulême,Saintes
Angoulême,Limoges
Burgos,Madrid
Burgos,Valladolid
Bilbao,A Coruña
Bilbao,Logroño
Madrid,Seville
Madrid,Barcelona
Madrid,Valencia
Madrid,Lisbon
Valladolid,Lisbon
Seville,Algeciras
Seville,Huelva
Seville,Mérida
Barcelona,Girona
Barcelona,Tarragona
Valencia,Castellón de la Plana
Valencia,Alicante
Lisbon,Porto
Lisbon,Albufeira
Algeciras,Málaga
Huelva,Castro Marim
Mérida,Salamanca
Málaga,Almería
Málaga,Granada
Bruges,Ghent
Bruges,Zeebrugge
Bruges,Roeselare
Rouen,Caen
Orange,Narbonne
Orange,Marseille
Chambéry,Geneva
Chambéry,Susa
Chambéry,Marseille
Grenoble,Valence
Narbonne,Girona
Tarragona,Castellón de la Plana
Alicante,Murcia
Murcia,Almería
Granada,Jaén
Hook of Holland,Rotterdam
Hook of Holland,The Hague
Rotterdam,Eindhoven
Rotterdam,Ludwigshafen
The Hague,Gouda
Eindhoven,Maastricht
Eindhoven,Antwerp
Eindhoven,Venlo
Eindhoven,Breda
Maastricht,Liège
Antwerp,Liège
Antwerp,Beaune
Antwerp,Zeebrugge
Venlo,Oberhausen
Breda,Gorinchem
Breda,Flushing
Liège,Bastogne
Liège,Leuven
Liège,Eupen
Liège,Namur
Liège,St. Vith
Liège,Charleville-Mézières
Bastogne,Arlon
Leuven,Hasselt
Eupen,Aachen
Eupen,St. Vith
Eupen,Eynatten
Namur,Charleroi
St. Vith,Luxembourg
St. Vith,Wittlich
Charleville-Mézières,Luxembourg
Arlon,Luxembourg
Luxembourg,Metz
Luxembourg,Trier
Metz,Saint-Avold
Metz,Lausanne
Metz,Geneva
Metz,Saarbrücken
Trier,Saarbrücken
Trier,Koblenz
Saint-Avold,Strasbourg
Lausanne,Bern
Lausanne,Geneva
Lausanne,Martigny
Geneva,Mont Blanc
Geneva,Mâcon
Saarbrücken,Mannheim
Strasbourg,Mulhouse
Strasbourg,Appenweier
Mulhouse,Basel
Mulhouse,Belfort
Mulhouse,Remiremont
Appenweier,Karlsruhe
Basel,Olten
Basel,Offenburg
Basel,Zürich
Basel,Waldshut
Belfort,Bern
Belfort,Besançon
Olten,Bern
Olten,Lucerne
Offenburg,Karlsruhe
Offenburg,Donaueschingen
Zürich,Altdorf
Zürich,Winterthur
Waldshut,Lindau
Bern,Martigny
Lucerne,Altdorf
Martigny,Aosta
Martigny,Sion
Mont Blanc,Aosta
Mâcon,Poitiers
Aosta,Ivrea
Ivrea,Vercelli
Ivrea,Turin
Vercelli,Alessandria
Turin,Alessandria
Turin,Milan
Turin,Susa
Turin,Savona
Alessandria,Genoa
Alessandria,Tortona
Alessandria,Asti
Genoa,Rome
Genoa,Tortona
Genoa,Nice
Tortona,Milan
Tortona,Brescia
Asti,Cuneo
Rome,Florence
Rome,Pescara
Rome,San Cesareo
Nice,Cuneo
Amsterdam,Utrecht
Amsterdam,Amersfoort
Amsterdam,Groningen
Utrecht,Arnhem
Utrecht,Gouda
Utrecht,Amersfoort
Utrecht,Gorinchem
Amersfoort,Oldenzaal
Amersfoort,Hoogeveen
Groningen,Bremen
Groningen,Hoogeveen
Arnhem,Emmerich
Emmerich,Oberhausen
Oberhausen,Cologne
Oberhausen,Dortmund
Cologne,Frankfurt am Main
Cologne,Aachen
Cologne,Olpe
Cologne,Sarreguemines
Cologne,Bremen
Dortmund,Kassel
Dortmund,Bad Oeynhausen
Dortmund,Wetzlar
Frankfurt am Main,Heidelberg
Frankfurt am Main,Gießen
Frankfurt am Main,Mannheim
Frankfurt am Main,Aschaffenburg
Frankfurt am Main,Wiesbaden
Aachen,Heerlen
Olpe,Wetzlar
Bremen,Hamburg
Bremen,Bremerhaven
Bremen,Walsrode
Heidelberg,Karlsruhe
Gießen,Wetzlar
Gießen,Bad Hersfeld
Mannheim,Heilbronn
Aschaffenburg,Würzburg
Aschaffenburg,Wetzlar
Wiesbaden,Bingen
Karlsruhe,Stuttgart
Stuttgart,Würzburg
Stuttgart,Schaffhausen
Stuttgart,Ulm
Altdorf,Gotthard Pass
Gotthard Pass,Bellinzona
Bellinzona,Lugano
Bellinzona,San Bernardino
Lugano,Chiasso
San Bernardino,Chur
Chiasso,Como
Como,Milan
Milan,Piacenza
Milan,Brescia
Milan,Gravellona Toce
Piacenza,Parma
Brescia,Verona
Gravellona Toce,Simplon
Parma,Modena
Parma,La Spezia
Modena,Florence
Modena,Verona
Modena,Bologna
Florence,Migliarino
Verona,Trento
Verona,Mestre
Bologna,Cesena
Migliarino,Pisa
Pescara,Ancona
Pescara,Canosa di Puglia
Karesuvanto,Karesuando
Karesuando,Arvidsjaur
Arvidsjaur,Östersund
Östersund,Mora
Östersund,Trondheim
Östersund,Sundsvall
Mora,Säffle
Trondheim,Dombås
Trondheim,Stjørdal
Trondheim,Orkanger
Sundsvall,Uppsala
Sundsvall,Örnsköldsvik
Säffle,Gothenburg
Gothenburg,Halmstad
Gothenburg,Örebro
Gothenburg,Oslo
Halmstad,Helsingborg
Örebro,Stockholm
Örebro,Karlstad
Örebro,Västerås
Oslo,Hamar
Oslo,Sandvika
Oslo,Drammen
Oslo,Askim
Frederikshavn,Aalborg
Aalborg,Aarhus
Aalborg,Nørresundby
Aarhus,Vejle
Nørresundby,Hjørring
Vejle,Kolding
Kolding,Flensburg
Flensburg,Hamburg
Hamburg,Hanover
Hamburg,Berlin
Hamburg,Lübeck
Hanover,Göttingen
Hanover,Bad Oeynhausen
Hanover,Braunschweig
Berlin,Rostock
Berlin,Lübbenau
Berlin,Szczecin
Berlin,Świebodzin
Berlin,Magdeburg
Berlin,Leipzig
Berlin,Neubrandenburg
Lübeck,Rostock
Lübeck,Oldenburg in Holstein
Göttingen,Kassel
Bad Oeynhausen,Osnabrück
Braunschweig,Magdeburg
Kassel,Fulda
Fulda,Würzburg
Würzburg,Nuremberg
Würzburg,Ulm
Nuremberg,Munich
Nuremberg,Heilbronn
Nuremberg,Rozvadov
Nuremberg,Bayreuth
Nuremberg,Regensburg
Ulm,Munich
Ulm,Lindau
Munich,Rosenheim
Munich,Salzburg
Munich,Lindau
Munich,Deggendorf
Munich,Garmisch-Partenkirchen
Munich,Braunau am Inn
Rozvadov,Plzeň
Bayreuth,Hof
Bayreuth,Schweinfurt
Bayreuth,Marktredwitz
Regensburg,Passau
Rosenheim,Wörgl
Rosenheim,Bad Reichenhall
Salzburg,Linz
Salzburg,Villach
Salzburg,Bad Reichenhall
Salzburg,Sattledt
Salzburg,Lofer
Lindau,Bregenz
Deggendorf,Bayerisch Eisenstein
Garmisch-Partenkirchen,Mittenwald
Braunau am Inn,Wels
Wörgl,Innsbruck
Wörgl,St. Johann in Tirol
Innsbruck,Brenner
Innsbruck,Telfs
Innsbruck,Lauterach
Innsbruck,Imst
Innsbruck,Seefeld
St. Johann in Tirol,Lofer
Brenner,Fortezza
Telfs,Landeck
Lauterach,Feldkirch
Imst,Feldkirch
Seefeld,Mittenwald
Fortezza,Bolzano
Fortezza,Innichen
Bolzano,Trento
Innichen,Spittal an der Drau
Mestre,Palmanova
Mestre,Ravenna
Cesena,Perugia
Cesena,Ravenna
Cesena,Rimini
Perugia,Fiano Romano
Rimini,Fano
Fiano Romano,Naples
Naples,Salerno
Naples,Avellino
Salerno,Sicignano degli Alburni
Salerno,Avellino
Avellino,Benevento
Sicignano degli Alburni,Cosenza
Sicignano degli Alburni,Potenza
Cosenza,Villa San Giovanni
Cosenza,Crotone
Potenza,Metaponto
Helsingør,Copenhagen
Copenhagen,Køge
Copenhagen,Malmö
Copenhagen,Esbjerg
Køge,Vordingborg
Malmö,Ystad
Malmö,Helsingborg
Malmö,Trelleborg
Malmö,Kalmar
Vordingborg,Farø
Farø,Nykøbing Falster
Farø,Rødby
Nykøbing Falster,Gedser
Rostock,Sassnitz
Sassnitz,Stralsund
Lübbenau,Dresden
Lübbenau,Cottbus
Szczecin,Goleniów
Szczecin,Gorzów Wielkopolski
Świebodzin,Gorzów Wielkopolski
Świebodzin,Zielona Góra
Świebodzin,Poznań
Magdeburg,Halle
Leipzig,Gera
Neubrandenburg,Stralsund
Dresden,Ústí nad Labem
Dresden,Chemnitz
Dresden,Görlitz
Cottbus,Legnica
Ústí nad Labem,Prague
Chemnitz,Gera
Chemnitz,Plauen
Görlitz,Legnica
Prague,Tábor
Prague,Mladá Boleslav
Prague,Jihlava
Prague,Plzeň
Prague,Karlovy Vary
Prague,Hradec Králové
Tábor,Linz
Mladá Boleslav,Turnov
Jihlava,Brno
Jihlava,Vienna
Plzeň,Karlovy Vary
Plzeň,České Budějovice
Plzeň,Bayerisch Eisenstein
Karlovy Vary,Cheb
Karlovy Vary,Teplice
Hradec Králové,Turnov
Hradec Králové,Náchod
Hradec Králové,Olomouc
Linz,Sattledt
Linz,Sankt Pölten
Linz,Wels
Sattledt,Liezen
Sattledt,Wels
Sankt Pölten,Vienna
Wels,Passau
Villach,Tarvisio
Villach,Karavanke Tunnel
Villach,Spittal an der Drau
Villach,Klagenfurt
Tarvisio,Udine
Karavanke Tunnel,Naklo
Klagenfurt,Graz
Klagenfurt,Loiblpass
Udine,Palmanova
Palmanova,Trieste
Trieste,Rijeka
Trieste,Postojna
Trieste,Ljubljana
Fano,Ancona
Fano,Sansepolcro
Sansepolcro,Arezzo
Canosa di Puglia,Bari
Canosa di Puglia,Benevento
Bari,Brindisi
Bari,Taranto
Brindisi,Taranto
Taranto,Metaponto
Igoumenitsa,Preveza
Igoumenitsa,Ioannina
Preveza,Rhion
Ioannina,Kozani
Ioannina,Trikala
Ioannina,Arta
Rhion,Patras
Rhion,Aigio
Patras,Pyrgos
Aigio,Corinth
Pyrgos,Kalamata
Kalamata,Tripoli
Tripoli,Corinth
Tripoli,Sparti
Helsingborg,Jönköping
Kalmar,Norrköping
Świnoujście,Wolin
Wolin,Goleniów
Goleniów,Koszalin
Koszalin,Słupsk
Zielona Góra,Legnica
Poznań,Świecie
Poznań,Warsaw
Poznań,Wrocław
Legnica,Jelenia Góra
Legnica,Wrocław
Jelenia Góra,Harrachov
Wrocław,Piotrków Trybunalski
Wrocław,Opole
Wrocław,Kłodzko
Harrachov,Železný Brod
Železný Brod,Turnov
Turnov,Teplice
Brno,Bratislava
Brno,Trenčín
Brno,Vienna
Brno,Olomouc
Brno,Svitavy
Vienna,Bratislava
Vienna,Nickelsdorf
Vienna,Halámky
Vienna,Graz
Bratislava,Rajka
Bratislava,Žilina
Bratislava,Győr
Bratislava,Zvolen
Bratislava,Dunajská Streda
Trenčín,Prešov
Trenčín,Žiar nad Hronom
Olomouc,Žilina
Olomouc,Český Těšín
Rajka,Csorna
Žilina,Katowice
Győr,Budapest
Győr,Vámosszabadi
Zvolen,Budapest
Zvolen,Košice
Zvolen,Ružomberok
Dunajská Streda,Medveďov
Csorna,Szombathely
Szombathely,Zalaegerszeg
Zalaegerszeg,Nagykanizsa
Nagykanizsa,Letenye
Nagykanizsa,Zagreb
Nagykanizsa,Balatonvilágos
Letenye,Zagreb
Letenye,Torniyiszentmiklós
Zagreb,Karlovac
Zagreb,Ljubljana
Zagreb,Slavonski Brod
Zagreb,Maribor
Balatonvilágos,Budapest
Karlovac,Rijeka
Karlovac,Knin
Ljubljana,Postojna
Ljubljana,Maribor
Ljubljana,Naklo
Slavonski Brod,Belgrade
Maribor,Graz
Maribor,Spielfeld
Rijeka,Split
Rijeka,Pula
Knin,Split
Split,Dubrovnik
Pula,Koper
Dubrovnik,Petrovac
Dubrovnik,Podgorica
Petrovac,Podgorica
Petrovac,Prizren
Podgorica,Bijelo Polje
Podgorica,Pristina
Podgorica,Sarajevo
Prizren,Pristina
Bijelo Polje,Pristina
Bijelo Polje,Nova Varoš
Pristina,Skopje
Pristina,Niš
Sarajevo,Zenica
Sarajevo,Užice
Nova Varoš,Čačak
Skopje,Kičevo
Skopje,Kumanovo
Skopje,Veles
Niš,Belgrade
Niš,Kumanovo
Niš,Drobeta-Turnu Severin
Niš,Sofia
Kičevo,Ohrid
Kumanovo,Kyustendil
Veles,Gevgelija
Ohrid,Bitola
Bitola,Niki
Niki,Vevi
Vevi,Kozani
Kozani,Larissa
Kozani,Thessaloniki
Larissa,Domokos
Larissa,Lamia
Larissa,Katerini
Larissa,Trikala
Larissa,Volos
Thessaloniki,Evzoni
Thessaloniki,Katerini
Thessaloniki,Alexandroupoli
Thessaloniki,Serres
Domokos,Lamia
Lamia,Brallos
Lamia,Athens
Lamia,Karpenisi
Brallos,Itea
Karpenisi,Amfilochia
Itea,Antirrio
Corinth,Megara
Megara,Attiki Odos
Sparti,Gytheio
Vardø,Vadsø
Vadsø,Varangerbotn
Varangerbotn,Utsjoki
Varangerbotn,Kirkenes
Varangerbotn,Karasjok
Utsjoki,Inari
Kirkenes,Murmansk
Karasjok,Lakselv
Inari,Ivalo
Ivalo,Sodankylä
Sodankylä,Rovaniemi
Sodankylä,Kemijärvi
Rovaniemi,Kemi
Kemijärvi,Posio
Kemi,Oulu
Kemi,Tornio
Oulu,Jyväskylä
Oulu,Kokkola
Tornio,Haparanda
Tornio,Kolari
Jyväskylä,Heinola
Jyväskylä,Kuopio
Jyväskylä,Tampere
Kokkola,Vaasa
Heinola,Lahti
Kuopio,Iisalmi
Tampere,Turku
Tampere,Vaasa
Tampere,Hämeenlinna
Lahti,Helsinki
Helsinki,Hämeenlinna
Helsinki,Turku/Naantali
Helsinki,Kotka
Kotka,Vaalimaa
Gdańsk,Świecie
Gdańsk,Kaliningrad
Gdańsk,Elbląg
Gdańsk,Gdynia
Świecie,Łódź
Kaliningrad,Tolpaki
Elbląg,Warsaw
Gdynia,Słupsk
Łódź,Piotrków Trybunalski
Piotrków Trybunalski,Katowice
Piotrków Trybunalski,Warsaw
Katowice,Zabrze
Katowice,Kraków
Katowice,Český Těšín
Warsaw,Kaunas
Warsaw,Brest
Warsaw,Radom
Warsaw,Lublin
Zabrze,Gliwice
Kraków,Rzeszów
Kraków,Radom
Kraków,Trstená
Budapest,Szeged
Budapest,Mosonmagyaróvár
